priority,model,status,training_crop_height,training_crop_width,training_gpu_count,training_batch_size_per_gpu,training_gradient_accumulation,training_effective_batch_size,training_workers,training_precision,training_optimizer,training_backbone_lr,training_fresh_component_lr,training_head_lr_multiplier,training_weight_decay,training_llrd,training_warmup_iterations,training_warmup_ratio,training_poly_power,training_gradient_clip,training_ema_decay,training_validation_interval,training_checkpoint_interval,training_objective,cityscapes_miou_mean,cityscapes_seeds,cityscapes_iterations_current,cityscapes_iterations_target,cityscapes_parameters,cityscapes_final_checkpoint_bytes,cityscapes_train_wall_clock_s_mean,cityscapes_gpu_hours_mean,cityscapes_train_peak_vram_bytes_per_device,cityscapes_full_validation_images_per_s_mean,railsem19_miou_mean,railsem19_seeds,railsem19_iterations_current,railsem19_iterations_target,railsem19_parameters,railsem19_final_checkpoint_bytes,railsem19_train_wall_clock_s_mean,railsem19_gpu_hours_mean,railsem19_train_peak_vram_bytes_per_device,railsem19_full_validation_images_per_s_mean,cityscapes_to_railsem19_miou_mean,cityscapes_to_railsem19_seeds,cityscapes_to_railsem19_iterations_current,cityscapes_to_railsem19_iterations_target,cityscapes_to_railsem19_parameters,cityscapes_to_railsem19_final_checkpoint_bytes,cityscapes_to_railsem19_train_wall_clock_s_mean,cityscapes_to_railsem19_gpu_hours_mean,cityscapes_to_railsem19_train_peak_vram_bytes_per_device,cityscapes_to_railsem19_full_validation_images_per_s_mean,standardized_inference_fps,standardized_inference_resident_parameter_bytes,standardized_inference_latency_ms,standardized_inference_latency_p50_ms,standardized_inference_latency_p95_ms,standardized_inference_peak_vram_bytes,standardized_inference_status
11,smp_deeplabv3plus_resnet101,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7918322818080207,1,40000,40000,,732423213,,,,6.852618245567908,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
12,deeplabv3plus_r101,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7918322818080207,1,40000,40000,,732423213,,,,6.852618245567908,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
13,native_convnext_tiny_uper,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.8148162419145936,1,40000,40000,,589942734,33138.49173497781,9.205136593049392,6287261696,6.606839984133035,,0,0,40000,,,,,,,0.7022039742131314,1,20000,20000,,589961358,,,,5.827740560592743,,,,,,,pending
14,native_convnext_tiny_channelmapper_dpt,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.8072050629170796,1,40000,40000,,612074646,,,,4.77304162962885,0.7069819115430167,1,40000,40000,38230389,612082966,82645.62761102617,22.957118780840602,12262047744,3.334463357639787,,0,0,20000,,,,,,,29.148104385559158,152921556,34.30754833221435,34.302974700927734,34.37767791748047,2090860544,complete
15,smp_pan_resnext50,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.6725177771314131,1,40000,40000,,380808710,,,,7.0337115497841305,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
16,native_resnet50_deeplabv3plus,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.76309968067934,1,40000,40000,,646447408,,,,6.788135348016788,0.6640553944561349,1,40000,40000,40351925,646455664,40434.14268075302,11.231706300209172,5404360704,6.632170160364919,,0,0,20000,,,,,,,136.37291155601733,161407700,7.3328345680236815,7.301119804382324,7.606169581413269,838860800,complete
17,native_resnet50_fpn_ocr,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7873087234842276,1,40000,40000,,523162026,45778.38654135913,12.716218483710868,7616856064,5.397656675021886,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
18,native_resnet50_psp,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7245306339788048,1,40000,40000,,595191911,,,,7.312681134131118,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
19,native_resnet50_aspp,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7187341643440919,1,40000,40000,,625575197,28850.093060187995,8.01391473894111,3934257152,7.171157512650715,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
20,smp_deeplabv3_resnet50,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,0.6818348364117464,1,40000,40000,39638869,635077023,63601.07100661844,17.66696416850512,7073693696,5.575550509873354,,0,0,20000,,,,,,,77.59808166343358,158555476,12.886916513442992,12.875264167785645,12.926976203918457,899678208,complete
21,smp_fpn_resnet50,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7707691765575488,1,40000,40000,,418721249,,,,7.253523370057212,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
22,smp_upernet_mit_b0,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,0.6656356198877775,1,40000,40000,10737525,172225271,52512.34418872744,14.58676227464651,7180648448,4.838958224226519,,0,0,20000,,,,,,,54.01791412267686,42950100,18.512377166748045,18.46062469482422,18.749904823303222,1172307968,complete
23,segformer_b0,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.748090915073854,1,40000,40000,,59851534,,,,8.007986202583997,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
24,hf_auto_segformer_b0,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
25,smp_unet_resnet34,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
26,smp_unetplusplus_efficientnet_b0,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
27,smp_manet_efficientnet_b0,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
28,native_efficientnet_b0_deeplabv3plus,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
29,hf_auto_mobilevitv2_deeplabv3,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
30,hf_auto_mobilevit_xxs_deeplabv3,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
31,hf_auto_mobilenetv2_deeplabv3,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
32,native_mobilenetv3_large_deeplabv3plus,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
33,native_mobilenetv3_large_lraspp,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
34,smp_pspnet_mobilenet_v2,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
35,smp_linknet_mobilenet_v2,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
36,native_resnet18_fpn_segformer_aux,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
37,native_resnet18_fpn_fcn,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
